"State","Name","Code","ColRulerName","GDPpc17","HDI17","IHDI17","Gini","ColRuler","ColRulerCode","IndFrom","IndDate","IndViol","IndType","SecFrom","SecDate","SecViol","Into","IntoDate","COWsys","GWsys","Notes"
212,"Luxembourg","LUX","Netherlands",106805.768781017,0.904,0.811,31.2,210,"NLD",210,186705,0,2,210,186705,0,-9,-9,192011,186705,"COW system interrupted 5/1940-9/1944 (Ger occup); part went to Belgium in 1839; remaining Dutch part became independent in 1867"
367,"Latvia","LVA","Russia",15624.8505714961,0.847,0.759,34.2,365,"RUS",365,191811,1,2,365,199109,0,-9,-9,191811,191811,"Absorbed into USSR from 6/1940 until seceded 9/1991; seceded from Russia 1/1918"
600,"Morocco","MAR","France",3069.67101308887,0.667,NA,40.7,220,"FRA",-9,166606,1,1,-9,-9,-9,-9,-9,184701,181601,"Independence interrupted by 1911-56 French occupation; France and Spain both colonized Morocco (much of Spanish Morocco is now Western Sahara)"
221,"Monaco","MCO","Not Colonized",165420.989471529,NA,NA,NA,-9,"N/C",-9,141906,0,1,-9,-9,-9,-9,-9,199305,-9,"Annexed to France 1793-1814 / protected by Sardinia 1815-60"
359,"Moldova","MDA","Turkey",2006.43118714636,0.7,0.627,26.3,640,"TUR",365,199112,0,3,-9,-9,-9,-9,-9,199112,199108,"-9"
580,"Madagascar (Malagasy Rep.)","MDG","France",516.540041644505,0.519,0.385,42.6,220,"FRA",220,196006,0,2,-9,-9,-9,-9,-9,196006,196006,"G&W add earlier indep from 1/1/1816-8/5/1896"
781,"Maldive Islands","MDV","United Kingdom",11151.0920279616,0.717,0.549,38.4,200,"GBR",200,196507,0,2,-9,-9,-9,-9,-9,196507,196505,"-9"
70,"Mexico","MEX","Spain",8967.17016660979,0.774,0.609,43.4,230,"ESP",230,182109,1,2,-9,-9,-9,-9,-9,183101,182107,"-9"
983,"Marshall Islands","MHL","United States of America",3753.25629152785,0.708,NA,NA,2,"USA",2,198610,0,2,-9,-9,-9,-9,-9,199109,-9,"Mandated to Japan (1920) / US trust territory (1947); both occupied islands first"
343,"North Macedonia (Macedonia/FYROM)","MKD","Turkey",5414.61879598777,0.757,0.661,35.6,640,"TUR",345,199109,0,3,345,199109,0,-9,-9,199304,199111,"""Former Yugoslav Republic of..."" due to Greek clam to Macedonian name"
432,"Mali","MLI","France",821.693528812962,0.427,0.282,33,220,"FRA",220,196009,0,2,-9,-9,-9,-9,-9,196006,196009,"-9"
338,"Malta","MLT","United Kingdom",29136.9679183422,0.878,0.805,29,200,"GBR",200,196409,0,2,-9,-9,-9,-9,-9,196409,196409,"Captured from France by British in 1800 & kept in 1814 Treaty of Paris"
775,"Myanmar (Burma)","MMR","United Kingdom",1257.28102869549,0.578,0.466,38.1,200,"GBR",200,194801,0,2,-9,-9,-9,-9,-9,194801,194801,"G&W add earlier indep from 1/1/1816-12/31/1885; ruled as a province of British India from late 19th century to 1937"
